name,price,product_url,image_url,category,subcategory,product_id,size,brand
Coles Herb Punnets Dill | 10g,$3.20,https://www.coles.com.au/product/coles-herb-punnets-dill-10g-3214769,https://cdn.productimages.coles.com.au/productimages/3/3214769.jpg,Fruit & Vegetables,,3214769,10g,Coles
Coles Kitchen Family Ranch Salad Kit | 400g,$5.50,https://www.coles.com.au/product/coles-kitchen-family-ranch-salad-kit-400g-3858943,https://cdn.productimages.coles.com.au/productimages/3/3858943.jpg,Fruit & Vegetables,,3858943,400g,Coles
Coles Kitchen Coleslaw Salad | 250g,$4.00,https://www.coles.com.au/product/coles-kitchen-coleslaw-salad-250g-3016302,https://cdn.productimages.coles.com.au/productimages/3/3016302.jpg,Fruit & Vegetables,,3016302,250g,Coles
Coles Chopped Kale | 140g,$3.00,https://www.coles.com.au/product/coles-chopped-kale-140g-2674606,https://cdn.productimages.coles.com.au/productimages/2/2674606.jpg,Fruit & Vegetables,,2674606,140g,Coles
Coles Herb Punnets Basil | 15g,$3.20,https://www.coles.com.au/product/coles-herb-punnets-basil-15g-3214521,https://cdn.productimages.coles.com.au/productimages/3/3214521.jpg,Fruit & Vegetables,,3214521,15g,Coles
Coles Herb Punnets Chives | 10g,$3.20,https://www.coles.com.au/product/coles-herb-punnets-chives-10g-3214747,https://cdn.productimages.coles.com.au/productimages/3/3214747.jpg,Fruit & Vegetables,,3214747,10g,Coles
Coles Kitchen Family Coleslaw Kit | 520g,$5.50,https://www.coles.com.au/product/coles-kitchen-family-coleslaw-kit-520g-3615657,https://cdn.productimages.coles.com.au/productimages/3/3615657.jpg,Fruit & Vegetables,,3615657,520g,Coles
Coles Kitchen Pasta Salad | 250g,$4.00,https://www.coles.com.au/product/coles-kitchen-pasta-salad-250g-3016299,https://cdn.productimages.coles.com.au/productimages/3/3016299.jpg,Fruit & Vegetables,,3016299,250g,Coles
Coles Herb Punnets Curry Leaves | 10g,$3.20,https://www.coles.com.au/product/coles-herb-punnets-curry-leaves-10g-1116601,https://cdn.productimages.coles.com.au/productimages/1/1116601.jpg,Fruit & Vegetables,,1116601,10g,Coles
Coles Kitchen American Bbq Slaw Kit | 400g,$5.50,https://www.coles.com.au/product/coles-kitchen-american-bbq-slaw-kit-400g-3015977,https://cdn.productimages.coles.com.au/productimages/3/3015977.jpg,Fruit & Vegetables,,3015977,400g,Coles
Coles Herb Punnets Mint | 15g,$3.20,https://www.coles.com.au/product/coles-herb-punnets-mint-15g-3214725,https://cdn.productimages.coles.com.au/productimages/3/3214725.jpg,Fruit & Vegetables,,3214725,15g,Coles
Coles Kitchen Salad Extra Creamy Coleslaw Kit | 500g,$5.50,https://www.coles.com.au/product/coles-kitchen-salad-extra-creamy-coleslaw-kit-500g-5485993,https://cdn.productimages.coles.com.au/productimages/5/5485993.jpg,Fruit & Vegetables,,5485993,500g,Coles
Coles Kitchen Green Goddess Salad Kit | 350g,$5.50,https://www.coles.com.au/product/coles-kitchen-green-goddess-salad-kit-350g-3858896,https://cdn.productimages.coles.com.au/productimages/3/3858896.jpg,Fruit & Vegetables,,3858896,350g,Coles
Coles Herb Punnets Parsley Continental | 15g,$3.20,https://www.coles.com.au/product/coles-herb-punnets-parsley-continental-15g-3214576,https://cdn.productimages.coles.com.au/productimages/3/3214576.jpg,Fruit & Vegetables,,3214576,15g,Coles
Coles Kitchen Beetslaw Salad Kit | 320g,$5.50,https://www.coles.com.au/product/coles-kitchen-beetslaw-salad-kit-320g-3869699,https://cdn.productimages.coles.com.au/productimages/3/3869699.jpg,Fruit & Vegetables,,3869699,320g,Coles
Coles Kitchen Mexican Style Salad Kit | 400g,$5.50,https://www.coles.com.au/product/coles-kitchen-mexican-style-salad-kit-400g-3015966,https://cdn.productimages.coles.com.au/productimages/3/3015966.jpg,Fruit & Vegetables,,3015966,400g,Coles
Coles Sleeved Herbs Parsley | 1 Each,$3.20,https://www.coles.com.au/product/coles-sleeved-herbs-parsley-1-each-4575569,https://cdn.productimages.coles.com.au/productimages/4/4575569.jpg,Fruit & Vegetables,,4575569,1,Coles
Coles Herb Punnets Lemongrass | 30g,$3.20,https://www.coles.com.au/product/coles-herb-punnets-lemongrass-30g-5747863,https://cdn.productimages.coles.com.au/productimages/5/5747863.jpg,Fruit & Vegetables,,5747863,30g,Coles
Coles Kitchen Honey Mustard & Crouton Salad Kit | 350g,$5.50,https://www.coles.com.au/product/coles-kitchen-honey-mustard-and-crouton-salad-kit-350g-5040240,https://cdn.productimages.coles.com.au/productimages/5/5040240.jpg,Fruit & Vegetables,,5040240,350g,Coles
Coles Baby Leaf Salad & Beetroot | 150g,$3.00,https://www.coles.com.au/product/coles-baby-leaf-salad-and-beetroot-150g-5040192,https://cdn.productimages.coles.com.au/productimages/5/5040192.jpg,Fruit & Vegetables,,5040192,150g,Coles
Coles Kitchen Chilli Lime Crunchy Noodle Salad Kit | 350g,$5.50,https://www.coles.com.au/product/coles-kitchen-chilli-lime-crunchy-noodle-salad-kit-350g-6051547,https://cdn.productimages.coles.com.au/productimages/6/6051547.jpg,Fruit & Vegetables,,6051547,350g,Coles
Coles Kitchen Potato Salad | 250g,$4.00,https://www.coles.com.au/product/coles-kitchen-potato-salad-250g-3016288,https://cdn.productimages.coles.com.au/productimages/3/3016288.jpg,Fruit & Vegetables,,3016288,250g,Coles
Coles Herb Punnets Thai Basil | 15g,$3.20,https://www.coles.com.au/product/coles-herb-punnets-thai-basil-15g-3593430,https://cdn.productimages.coles.com.au/productimages/3/3593430.jpg,Fruit & Vegetables,,3593430,15g,Coles
Coles Herb Punnets Lime Leaves | 10g,$3.20,https://www.coles.com.au/product/coles-herb-punnets-lime-leaves-10g-1116703,https://cdn.productimages.coles.com.au/productimages/1/1116703.jpg,Fruit & Vegetables,,1116703,10g,Coles
Coles Herb Punnets Oregano | 10g,$3.20,https://www.coles.com.au/product/coles-herb-punnets-oregano-10g-3215091,https://cdn.productimages.coles.com.au/productimages/3/3215091.jpg,Fruit & Vegetables,,3215091,10g,Coles
Coles Herb Punnets Lemon Thyme | 10g,$3.20,https://www.coles.com.au/product/coles-herb-punnets-lemon-thyme-10g-3123186,https://cdn.productimages.coles.com.au/productimages/3/3123186.jpg,Fruit & Vegetables,,3123186,10g,Coles
Coles Herb Punnets Sage | 10g,$3.20,https://www.coles.com.au/product/coles-herb-punnets-sage-10g-3215138,https://cdn.productimages.coles.com.au/productimages/3/3215138.jpg,Fruit & Vegetables,,3215138,10g,Coles
Coles Herb Punnets Vietnamese Mint | 15g,$3.20,https://www.coles.com.au/product/coles-herb-punnets-vietnamese-mint-15g-3593190,https://cdn.productimages.coles.com.au/productimages/3/3593190.jpg,Fruit & Vegetables,,3593190,15g,Coles
Coles Sleeved Herbs Watercress | 1 Each,$3.20,https://www.coles.com.au/product/coles-sleeved-herbs-watercress-1-each-4575810,https://cdn.productimages.coles.com.au/productimages/4/4575810.jpg,Fruit & Vegetables,,4575810,1,Coles
Coles Blueberries | 125g,$3.50,https://www.coles.com.au/product/coles-blueberries-125g-5543535,https://cdn.productimages.coles.com.au/productimages/5/5543535.jpg,Fruit & Vegetables,,5543535,125g,Coles
Coles Broccoli Medium | approx. 340g,$1.29,https://www.coles.com.au/product/coles-broccoli-medium-approx.-340g-407755,https://cdn.productimages.coles.com.au/productimages/4/407755.jpg,Fruit & Vegetables,,407755,approx. 340g,Coles
