title,price,size,productUrl,imageUrl,category,brand
Colgate Advanced Whitening Tartar Control Toothpaste,$6.50,115g,https://www.igashop.com.au/product/514839,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/514839.jpg",Tooth Paste,Colgate
Colgate Advanced Whitening Tartar Control Toothpaste,$8.85,200g,https://www.igashop.com.au/product/514863,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/514863.jpg",Tooth Paste,Colgate
Colgate Advanced Whitening Toothpaste,$6.50,115g,https://www.igashop.com.au/product/514847,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/514847.jpg",Tooth Paste,Colgate
Colgate Advanced Whitening Toothpaste,$8.85,200g,https://www.igashop.com.au/product/514973,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/514973.jpg",Tooth Paste,Colgate
Colgate Brush Gentle Comfort Clean Soft,$9.00,2,https://www.igashop.com.au/product/189613,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/189613.jpg",Tooth Brushes,Colgate
Colgate Cavity Protection Cool Mint Fluoride Toothpaste,$3.40,175g,https://www.igashop.com.au/product/61331,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/61331.jpg",Tooth Paste,Colgate
Colgate Cavity Protection Great Regular Flavour Fluoride Toothpaste with Liquid Calcium,$2.80,120g,https://www.igashop.com.au/product/440292,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/440292.jpg",Tooth Paste,Colgate
Colgate Cavity Protection Great Regular Flavour Toothpaste,$3.40,175g,https://www.igashop.com.au/product/61357,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/61357.jpg",Tooth Paste,Colgate
Colgate Dental Ribbon Total Mint Waxed 100m,$6.00,1,https://www.igashop.com.au/product/189605,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/189605.jpg",Denture Care,Colgate
Colgate Dental Ribbon Waxed 50m,$4.20,1,https://www.igashop.com.au/product/311846,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/311846.jpg",Dental Floss and Tape,Colgate
Colgate Gel 2in1 Whitening,$6.50,130g,https://www.igashop.com.au/product/440056,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/440056.jpg",Tooth Paste,Colgate
Colgate Kids Minions Toothpaste 6+ Years Mild Mint,$2.75,90g,https://www.igashop.com.au/product/160000012126,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000012126.jpg",Tooth Paste,Colgate
Colgate Kids Peppa Pig Toothpaste Mild Mint Gel Children's Tooth Paste,$2.75,90g,https://www.igashop.com.au/product/160000012127,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000012127.jpg",Tooth Paste,Colgate
Colgate Max Fresh Cool Mint Toothpaste,$6.50,115g,https://www.igashop.com.au/product/514850,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/514850.jpg",Tooth Paste,Colgate
