title,price,size,productUrl,imageUrl,category,brand
Air Wick Automatic Spray Essential Oil Air Freshener Refill Linen & White Orchid,$15.00,228ml,https://www.igashop.com.au/product/1800000067360,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000067360.jpg",Air Fresheners,Air Wick
Air Wick Automatic Spray Essential Oil Air Freshener Refill Sweet Vanilla & Shea Butter,$15.00,228ml,https://www.igashop.com.au/product/1800000067361,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000067361.jpg",Air Fresheners,Air Wick
Air Wick Automatic Spray Essential Oil Air Freshener Starter Kit Sweet Vanilla & Shea Butter,$26.00,228ml,https://www.igashop.com.au/product/1800000067359,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000067359.jpg",Air Fresheners,Air Wick
Air Wick Botanica Candle Caribbean Vetiver & Sandalwood,$20.00,205g,https://www.igashop.com.au/product/170177,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/170177.jpg",Air Fresheners,Air Wick
Air Wick Botanica French Lavender,$9.00,236ml,https://www.igashop.com.au/product/750749,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/750749.jpg",Air Fresheners,Air Wick
Air Wick Botanica Island Rose & African Geranium Room Spray,$9.00,236ml,https://www.igashop.com.au/product/750723,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/750723.jpg",Air Fresheners,Air Wick
Air Wick Decosphere Vanilla Orchid,$7.10,75ml,https://www.igashop.com.au/product/78427,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/78427.jpg",Air Fresheners,Air Wick
Air Wick Essential Oil Air Freshener Plug In Diffuser Blue Eucalyptus & Cedarwood,$16.00,19ml,https://www.igashop.com.au/product/1800000067349,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000067349.jpg",Air Fresheners,Air Wick
Air Wick Essential Oil Air Freshener Plug In Diffuser Ocean Waves & Sea Salt,$16.00,19ml,https://www.igashop.com.au/product/1800000067350,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000067350.jpg",Air Fresheners,Air Wick
Air Wick Essential Oil Air Freshener Plug In Diffuser Sweet Vanilla & Shea Butter,$16.00,19ml,https://www.igashop.com.au/product/1800000067348,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000067348.jpg",Air Fresheners,Air Wick
Air Wick Essential Oil Air Freshener Refill Lavender Meadows & Bluebells,$20.00,57ml,https://www.igashop.com.au/product/1800000067354,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000067354.jpg",Air Fresheners,Air Wick
Air Wick Essential Oil Air Freshener Refill Linen & White Orchid ,$20.00,57ml,https://www.igashop.com.au/product/1800000067356,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000067356.jpg",Air Fresheners,Air Wick
Air Wick Essential Oil Air Freshener Refill Ocean Waves & Sea Salt ,$20.00,57ml,https://www.igashop.com.au/product/1800000067353,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000067353.jpg",Air Fresheners,Air Wick
Air Wick Essential Oil Air Freshener Refill Sweet Vanilla & Shea Butter ,$20.00,57ml,https://www.igashop.com.au/product/1800000067357,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000067357.jpg",Air Fresheners,Air Wick
