title,price,size,productUrl,imageUrl,category,brand
V.I.P. Prota Pet Tender Meat,$3.80,1kg,https://www.igashop.com.au/product/170245,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/170245.jpg",Chilled Dog Food,V.I.P. Petfoods
"VIP Chunkers with Beef, Peas & Carrots",$5.90,1kg,https://www.igashop.com.au/product/180000001577,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000001577.jpg",Dry Dog Food,V.I.P. Petfoods
VitaPet Chewz Dog Treats Chicken Wrapped Rawhide Twists,$16.50,18,https://www.igashop.com.au/product/160000006175,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000006175.jpg",Trays and Can Dog Food,VitaPet
VitaPet Chewz Dog Treats Chicken Wrapped Rawhide Twists,$5.50,5,https://www.igashop.com.au/product/947891,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/947891.jpg","Dog Treats, Accessories and Healthcare",VitaPet
Vitapet Chicken Tenders,$29.10,500g,https://www.igashop.com.au/product/180000005317,,"Dog Treats, Accessories and Healthcare",VitaPet
VitaPet Dog Treats Chicken Tenders,$13.55,200g,https://www.igashop.com.au/product/947867,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/947867.jpg","Dog Treats, Accessories and Healthcare",VitaPet
VitaPet Dog Treats Soft Chicken Tenders,$9.00,100g,https://www.igashop.com.au/product/160000006178,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000006178.jpg",Trays and Can Dog Food,VitaPet
VitaPet Duck Tenders,$8.75,100g,https://www.igashop.com.au/product/947854,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/947854.jpg","Dog Treats, Accessories and Healthcare",VitaPet
VitaPet Fish Food Goldfish Flake Plus,$7.50,36g,https://www.igashop.com.au/product/230736,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/230736.jpg",Small Animal Food,VitaPet
VitaPet Fish Food Weekend Blocks,$5.50,20g,https://www.igashop.com.au/product/205545,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/205545.jpg",Small Animal Food,VitaPet
Vitapet Jerhigh Chicken Sticks Dog Treats,$19.35,400g,https://www.igashop.com.au/product/224976,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/224976.jpg","Dog Treats, Accessories and Healthcare",VitaPet
VitaPet Jerhigh Chicken Tenders For Dogs,$8.70,100g,https://www.igashop.com.au/product/225037,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/225037.jpg","Dog Treats, Accessories and Healthcare",VitaPet
VitaPet JerHigh Dog Treats Chicken Sticks,$6.00,100g,https://www.igashop.com.au/product/822541,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/822541.jpg","Dog Treats, Accessories and Healthcare",VitaPet
VitaPet JerHigh Dog Treats Chicken With Bacon Flavour,$6.00,100g,https://www.igashop.com.au/product/822606,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/822606.jpg","Dog Treats, Accessories and Healthcare",VitaPet
VitaPet Jerhigh Duck Sticks,$6.00,80g,https://www.igashop.com.au/product/947930,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/947930.jpg","Dog Treats, Accessories and Healthcare",VitaPet
VitaPet Jerhigh Treat Milk Sticks,$6.00,100g,https://www.igashop.com.au/product/755189,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/755189.jpg","Dog Treats, Accessories and Healthcare",VitaPet
VitaPet JH Dog Treats Chicken Sampler,$19.35,400g,https://www.igashop.com.au/product/210723,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/210723.jpg","Dog Treats, Accessories and Healthcare",VitaPet
VitaPet JH Dog Treats Milky Sticks,$19.35,400g,https://www.igashop.com.au/product/947875,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/947875.jpg","Dog Treats, Accessories and Healthcare",VitaPet
VitaPet Pocket Trainers Chicken With Sweet Potatoes & Blueberries,$6.50,70g,https://www.igashop.com.au/product/160000006184,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000006184.jpg",Trays and Can Dog Food,VitaPet
Whiskas 1+ Dry Cat Food Beef & Lamb Flavours,$11.00,1.8kg,https://www.igashop.com.au/product/150000006370,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/150000006370.jpg",Dry Cat Food,Whiskas
Whiskas 1+ Dry Cat Food Beef & Lamb Flavours,$5.75,800g,https://www.igashop.com.au/product/150000006405,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/150000006405.jpg",Dry Cat Food,Whiskas
Whiskas 1+ Dry Cat Food Chicken & Rabbit Flavours,$5.75,800g,https://www.igashop.com.au/product/150000006364,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/150000006364.jpg",Dry Cat Food,Whiskas
Whiskas 1+ Dry Cat Food Chicken & Turkey Flavours,$11.00,1.8kg,https://www.igashop.com.au/product/150000006373,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/150000006373.jpg",Dry Cat Food,Whiskas
Whiskas 1+ Dry Cat Food Saradine & Prawn Flavours,$11.00,1.8kg,https://www.igashop.com.au/product/150000006408,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/150000006408.jpg",Dry Cat Food,Whiskas
Whiskas 1+ Dry Cat Food Sardine & Prawn Flavours,$5.75,800g,https://www.igashop.com.au/product/150000006386,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/150000006386.jpg",Dry Cat Food,Whiskas
Whiskas 1+ Wet Cat Food with Chicken Favourites In Gravy,$13.00,12,https://www.igashop.com.au/product/63969,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/63969.jpg",Trays and Can Cat Food,Whiskas
Whiskas 1+ Wet Cat Food with Mixed Favourites In Gravy,$13.00,12,https://www.igashop.com.au/product/64672,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/64672.jpg",Trays and Can Cat Food,Whiskas
Whiskas 1+ Wet Cat Food with Mixed Favourites In Jelly,$13.00,12,https://www.igashop.com.au/product/64698,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/64698.jpg",Trays and Can Cat Food,Whiskas
Whiskas 1+ Years Favourites Tuna In Jelly Wet Cat Food Pouch,$13.00,12,https://www.igashop.com.au/product/845950,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/845950.jpg",Trays and Can Cat Food,Whiskas
Whiskas 1+ Years Favourites With Beef In Jelly Wet Cat Food Pouch,$13.00,12,https://www.igashop.com.au/product/845612,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/845612.jpg",Trays and Can Cat Food,Whiskas
Whiskas 1+ Years So Fishy Ocean Platter In Jelly,$13.50,12,https://www.igashop.com.au/product/798726,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/798726.jpg",Trays and Can Cat Food,Whiskas
Whiskas 1+ Years Wet Cat Food Beef Mince,$2.10,400g,https://www.igashop.com.au/product/406361,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/406361.jpg",Trays and Can Cat Food,Whiskas
Whiskas 1+ Years Wet Cat Food Chicken In Jelly Pouch,$13.00,12,https://www.igashop.com.au/product/845934,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/845934.jpg",Trays and Can Cat Food,Whiskas
Whiskas 1+ Years Wet Cat Food Chicken Mince,$2.10,400g,https://www.igashop.com.au/product/488868,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/488868.jpg",Trays and Can Cat Food,Whiskas
Whiskas 1+ Years Wet Cat Food Favourites Beef In Gravy Pouch,$13.00,12,https://www.igashop.com.au/product/63914,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/63914.jpg",Trays and Can Cat Food,Whiskas
Whiskas 1+ Years Wet Cat Food Lamb Mince,$2.10,400g,https://www.igashop.com.au/product/12112,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/12112.jpg",Trays and Can Cat Food,Whiskas
Whiskas 1+ Years Wet Cat Food Tuna Can,$2.10,400g,https://www.igashop.com.au/product/629260,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/629260.jpg",Trays and Can Cat Food,Whiskas
Whiskas 7+ Dry Cat Food Tuna & Sardine Flavours,$5.75,800g,https://www.igashop.com.au/product/150000006378,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/150000006378.jpg",Dry Cat Food,Whiskas
Whiskas Adult Chicken & Turkey,$5.75,800g,https://www.igashop.com.au/product/207385,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/207385.jpg",Dry Cat Food,Whiskas
Whiskas Adult Furball Sardine & Prawn,$5.75,800g,https://www.igashop.com.au/product/207377,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/207377.jpg",Dry Cat Food,Whiskas
Whiskas Adult Wet Cat Food Beef Casserole,$2.10,400g,https://www.igashop.com.au/product/346511,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/346511.jpg",Trays and Can Cat Food,Whiskas
Whiskas Adult Wet Cat Food Beef Loaf,$2.10,400g,https://www.igashop.com.au/product/346561,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/346561.jpg",Trays and Can Cat Food,Whiskas
