title,price,category,producturl,imageurl,size,brand
10x Contour Facial Puff Blending Foundation Makeup Sponges Cosmetic Wedges,$21.95,Beauty,https://www.woolworths.com.au/shop/productdetails/1122157783/10x-contour-facial-puff-blending-foundation-makeup-sponges-cosmetic-wedges,https://cdn1.woolworths.media/content/wowproductimages/large/1122157783.jpg,10,Memory Tech
10x Hair Clips Crocodile Salon Hairdressing Tool Matte Section Claw Clamp Black,$25.00,Beauty,https://www.woolworths.com.au/shop/productdetails/1109210621/10x-hair-clips-crocodile-salon-hairdressing-tool-matte-section-claw-clamp-black,https://cdn1.woolworths.media/content/wowproductimages/large/1109210621.jpg,10,Unknown
10x L'Oreal Paris True Match Super Blendable Liquid Foundation 30ml 1C Rose Ivory,$109.99,Beauty,https://www.woolworths.com.au/shop/productdetails/1120490135/10x-l-oreal-paris-true-match-super-blendable-liquid-foundation-30ml-1c-rose-ivory,https://cdn1.woolworths.media/content/wowproductimages/large/1120490135.jpg,30ml,L'oreal Paris
10x L'Oreal Paris True Match Super Blendable Liquid Foundation 30ml 2C Rose Vanilla,$109.99,Beauty,https://www.woolworths.com.au/shop/productdetails/1120490101/10x-l-oreal-paris-true-match-super-blendable-liquid-foundation-30ml-2c-rose-vanilla,https://cdn1.woolworths.media/content/wowproductimages/large/1120490101.jpg,30ml,L'oreal Paris
10x L'Oreal Paris True Match Super Blendable Liquid Foundation 30ml 5N Sand,$109.99,Beauty,https://www.woolworths.com.au/shop/productdetails/1120490093/10x-l-oreal-paris-true-match-super-blendable-liquid-foundation-30ml-5n-sand,https://cdn1.woolworths.media/content/wowproductimages/large/1120490093.jpg,30ml,L'oreal Paris
10x L'Oreal Paris True Match Super Blendable Liquid Foundation 30ml 5W Golden Sand,$109.99,Beauty,https://www.woolworths.com.au/shop/productdetails/1120490117/10x-l-oreal-paris-true-match-super-blendable-liquid-foundation-30ml-5w-golden-sand,https://cdn1.woolworths.media/content/wowproductimages/large/1120490117.jpg,30ml,L'oreal Paris
10x Maybelline Color Sensational Cream Lipstick 344 Coral Rise 4.2g,$65.99,Beauty,https://www.woolworths.com.au/shop/productdetails/1118935555/10x-maybelline-color-sensational-cream-lipstick-344-coral-rise-4-2g,https://cdn1.woolworths.media/content/wowproductimages/large/1118935555.jpg,4.2g,Maybelline
10x Maybelline Color Sensational Cream Lipstick 410 Blissful Berry 4.2g,$75.99,Beauty,https://www.woolworths.com.au/shop/productdetails/1118935593/10x-maybelline-color-sensational-cream-lipstick-410-blissful-berry-4-2g,https://cdn1.woolworths.media/content/wowproductimages/large/1118935593.jpg,4.2g,Maybelline
10x Maybelline Color Sensational Cream Lipstick Smoked Roses 325 Dusk Rose 4.4g,$79.99,Beauty,https://www.woolworths.com.au/shop/productdetails/1115744337/10x-maybelline-color-sensational-cream-lipstick-smoked-roses-325-dusk-rose-4-4g,https://cdn1.woolworths.media/content/wowproductimages/large/1115744337.jpg,4.4g,Maybelline
10x Maybelline Fast Gel Quick Drying Longwear Nail Lacquer 6.7ml 13 Possessed Plum,$61.99,Beauty,https://www.woolworths.com.au/shop/productdetails/1120490177/10x-maybelline-fast-gel-quick-drying-longwear-nail-lacquer-6-7ml-13-possessed-plum,https://cdn1.woolworths.media/content/wowproductimages/large/1120490177.jpg,6.7ml,Maybelline
10x Maybelline Fit Me Tinted Moisturizer - 103 with Aloe,$49.99,Beauty,https://www.woolworths.com.au/shop/productdetails/1120946339/10x-maybelline-fit-me-tinted-moisturizer-103-with-aloe,https://cdn1.woolworths.media/content/wowproductimages/large/1120946339.jpg,10,Maybelline
