title,price,category,producturl,imageurl,size,brand
Dine Adult Wet Cat Food Slices with Succulent Chicken Trays 85g x 7 pack,$10.00,Pet,https://www.woolworths.com.au/shop/productdetails/477608/dine-adult-wet-cat-food-slices-with-succulent-chicken-trays,https://cdn1.woolworths.media/content/wowproductimages/large/477608.jpg,7x85g,Dine
Dine Adult Wet Cat Food Saucy Morsels with Tuna & Cheese 85g,$0.95,Pet,https://www.woolworths.com.au/shop/productdetails/349690/dine-adult-wet-cat-food-saucy-morsels-with-tuna-cheese,https://cdn1.woolworths.media/content/wowproductimages/large/349690.jpg,85g,Dine
Dine Adult Wet Cat Food Slices with Succulent Chicken Trays 85g,$0.95,Pet,https://www.woolworths.com.au/shop/productdetails/963191/dine-adult-wet-cat-food-slices-with-succulent-chicken-trays,https://cdn1.woolworths.media/content/wowproductimages/large/963191.jpg,85g,Dine
Fancy Feast Adult Classic Chicken Feast Gravy Grilled Wet Cat Food 85g,$1.60,Pet,https://www.woolworths.com.au/shop/productdetails/179506/fancy-feast-adult-classic-chicken-feast-gravy-grilled-wet-cat-food,https://cdn1.woolworths.media/content/wowproductimages/large/179506.jpg,85g,Fancy Feast
My Dog Adult Wet Dog Food Classic Loaf with Lamb & Liver Can 400g,$2.40,Pet,https://www.woolworths.com.au/shop/productdetails/23625/my-dog-adult-wet-dog-food-classic-loaf-with-lamb-liver-can,https://cdn1.woolworths.media/content/wowproductimages/large/023625.jpg,400g,My Dog
Dine Adult Wet Cat Food Saucy Morsels with Tuna & Cheese 85g x 7 pack,$10.00,Pet,https://www.woolworths.com.au/shop/productdetails/477637/dine-adult-wet-cat-food-saucy-morsels-with-tuna-cheese,https://cdn1.woolworths.media/content/wowproductimages/large/477637.jpg,7x85g,Dine
Fancy Feast Adult Delights Turkey & Cheddar Cheese Wet Cat Food 85g,$1.60,Pet,https://www.woolworths.com.au/shop/productdetails/382713/fancy-feast-adult-delights-turkey-cheddar-cheese-wet-cat-food,https://cdn1.woolworths.media/content/wowproductimages/large/382713.jpg,85g,Fancy Feast
Paws Fresh Adult Chilled Fresh Dog Food Gourmet Chunky Mince 600g,$6.00,Pet,https://www.woolworths.com.au/shop/productdetails/355561/paws-fresh-adult-chilled-fresh-dog-food-gourmet-chunky-mince,https://cdn1.woolworths.media/content/wowproductimages/large/355561.jpg,600g,Paws Fresh
My Dog Adult Wet Dog Food Classic Loaf with Tender Chicken 100g,$1.80,Pet,https://www.woolworths.com.au/shop/productdetails/75953/my-dog-adult-wet-dog-food-classic-loaf-with-tender-chicken,https://cdn1.woolworths.media/content/wowproductimages/large/075953.jpg,100g,My Dog
Baxter's Wet Dog Food Casserole Chicken Rice & Veg 1.2kg,$3.20,Pet,https://www.woolworths.com.au/shop/productdetails/480931/baxter-s-wet-dog-food-casserole-chicken-rice-veg,https://cdn1.woolworths.media/content/wowproductimages/large/480931.jpg,1.2kg,Baxter's
