name,price,product_url,image_url,category,subcategory,brand,size,canonical_brand
Green Tea and Lemon 50 Pack 75g,$2.19,https://www.aldi.com.au/products/diplomat-green-tea-and-lemon-50-pack-75g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/c7b046aa-06ac-4c0f-8a34-834400bf1e77/diplomat-green-tea-and-lemon-50-pack-75g,Pantry,"Tea, Coffee & Hot Chocolate",DIPLOMAT,50,DIPLOMAT
Green Tea and Mint 50 Pack 75g,$2.19,https://www.aldi.com.au/products/diplomat-green-tea-and-mint-50-pack-75g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/8e1ad9db-8291-4b5d-a023-35ecdb4fa232/diplomat-green-tea-and-mint-50-pack-75g,Pantry,"Tea, Coffee & Hot Chocolate",DIPLOMAT,50,DIPLOMAT
Chunky Beef Soup 505g,$2.99,https://www.aldi.com.au/products/the-soup-co-chunky-beef-soup-505g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/6863c514-6c03-4c97-9adf-ad4b07e201b9/the-soup-co-chunky-beef-soup-505g,Pantry,Soups & Noodles,THE SOUP CO.,505g,THE SOUP CO.
Chunky Chicken Soup 505g,$2.99,https://www.aldi.com.au/products/the-soup-co-chunky-chicken-soup-505g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/6cf1e18d-20d1-4823-b3fe-1bc400a0b6bc/the-soup-co-chunky-chicken-soup-505g,Pantry,Soups & Noodles,THE SOUP CO.,505g,THE SOUP CO.
Beef Stroganoff Recipe Base175g,$2.49,https://www.aldi.com.au/products/masterfoods-beef-stroganoff-recipe-base175g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/2d264bd6-5f5a-48bb-be5a-78422a639984/masterfoods-beef-stroganoff-recipe-base175g,Pantry,Sauces,MASTERFOODS,175g,Masterfoods
Curried Sausages Recipe Base175g,$2.49,https://www.aldi.com.au/products/masterfoods-curried-sausages-recipe-base175g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/d117ae7b-004a-4c09-be9e-fdacda3d4040/masterfoods-curried-sausages-recipe-base175g,Pantry,Sauces,MASTERFOODS,175g,Masterfoods
Honey Mustard Chicken Recipe Base175g,$2.49,https://www.aldi.com.au/products/masterfoods-honey-mustard-chicken-recipe-base175g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/eb22655a-5c10-4d10-9bda-3df228d6a0ef/masterfoods-honey-mustard-chicken-recipe-base175g,Pantry,Sauces,MASTERFOODS,175g,Masterfoods
Tuscan Meatballs Recipe Base 175g,$2.49,https://www.aldi.com.au/products/masterfoods-tuscan-meatballs-recipe-base-175g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/fe3e58fd-1bc0-4755-aeed-3ee8e1616b67/masterfoods-tuscan-meatballs-recipe-base-175g,Pantry,Sauces,MASTERFOODS,175g,Masterfoods
Chicken Flavour Stock Cubes 21 Pack 105g,$2.49,https://www.aldi.com.au/products/chefs-cupboard-chicken-flavour-stock-cubes-21-pack-105g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/1422df1e-3bb7-47c0-862a-829a35114b03/chefs-cupboard-chicken-flavour-stock-cubes-21-pack-105g,Pantry,Stocks & Gravy,CHEFS' CUPBOARD,105g,CHEFS' CUPBOARD
Beef Flavour Stock Cubes 21 Pack 105g,$2.49,https://www.aldi.com.au/products/chefs-cupboard-beef-flavour-stock-cubes-21-pack-105g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/f958e07b-7b1c-4a86-8055-64cf8dad5c7e/chefs-cupboard-beef-flavour-stock-cubes-21-pack-105g,Pantry,Stocks & Gravy,CHEFS' CUPBOARD,105g,CHEFS' CUPBOARD
Vegetable Flavour Stock Cubes 21 Pack 105g,$2.49,https://www.aldi.com.au/products/chefs-cupboard-vegetable-flavour-stock-cubes-21-pack-105g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/37f08bcb-6cde-41f5-839b-4505b227d1b4/chefs-cupboard-vegetable-flavour-stock-cubes-21-pack-105g,Pantry,Stocks & Gravy,CHEFS' CUPBOARD,105g,CHEFS' CUPBOARD
Salt Reduced Chicken Flavour Stock Cubes 21 Pack 105g,$2.49,https://www.aldi.com.au/products/chefs-cupboard-salt-reduced-chicken-flavour-stock-cubes-21-pack-105g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/f29e0e23-d71c-4f69-8d1d-f1ab3c4d483a/chefs-cupboard-salt-reduced-chicken-flavour-stock-cubes-21-pack-105g,Pantry,Stocks & Gravy,CHEFS' CUPBOARD,105g,CHEFS' CUPBOARD
Caesar Salad Dressing 330ml,$1.79,https://www.aldi.com.au/products/colway-caesar-salad-dressing-330ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/57ba29b9-54e2-46ad-81ee-73ba9e73acd2/colway-caesar-salad-dressing-330ml,Pantry,Condiments & Dressings,COLWAY,330ml,COLWAY
Coleslaw Salad Dressing 330ml,$1.79,https://www.aldi.com.au/products/colway-coleslaw-salad-dressing-330ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/362fd9e6-11c3-4c21-aab1-fe0d125e6c07/colway-coleslaw-salad-dressing-330ml,Pantry,Condiments & Dressings,COLWAY,330ml,COLWAY
Thousand Island Salad Dressing 330ml,$1.79,https://www.aldi.com.au/products/colway-thousand-island-salad-dressing-330ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/f324b79c-73a0-45c6-b849-19f307befb4d/colway-thousand-island-salad-dressing-330ml,Pantry,Condiments & Dressings,COLWAY,330ml,COLWAY
