name,price,product_url,image_url,category,subcategory,brand,size,canonical_brand
Dentitex Advanced Whitening Toothpaste 200g,$2.09,https://www.aldi.com.au/products/dentitex-dentitex-advanced-whitening-toothpaste-200g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/8e23dcc7-a502-48c6-9bde-0be756a923a0/dentitex-dentitex-advanced-whitening-toothpaste-200g,Health & Beauty,Dental Care,DENTITEX,200g,DENTITEX
Ultra Sensitive Body Wash 1L,$9.99,https://www.aldi.com.au/products/juliet-ultra-sensitive-body-wash-1l,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/55e02302-32a3-40b0-b24c-ac6aacb44485/juliet-ultra-sensitive-body-wash-1l,Health & Beauty,Shower & Bath Care,JULIET,1000ml,JULIET
Sensitive Total CareToothpaste 110g,$5.99,https://www.aldi.com.au/products/dentitex-sensitive-total-caretoothpaste-110g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/cf7f5bee-bd0c-452b-b017-d766ef1bad93/dentitex-sensitive-total-caretoothpaste-110g,Health & Beauty,Dental Care,DENTITEX,110g,DENTITEX
Makeup Rounds 80 Pack,$1.39,https://www.aldi.com.au/products/lacura-makeup-rounds-80-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/9affd977-e4ae-4952-be38-1a7d0c0707a2/lacura-makeup-rounds-80-pack,Health & Beauty,Personal Care & Hygiene,LACURA,80,LACURA
Cotton Tips 400 pack,$3.89,https://www.aldi.com.au/products/lacura-cotton-tips-400-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/0e6feb87-60cc-4b78-b2a5-1c9780cdbef1/lacura-cotton-tips-400-pack,Health & Beauty,Sun & Skin Care,LACURA,400,LACURA
Strong Hold Hair Spray 400g,$4.29,https://www.aldi.com.au/products/protane-strong-hold-hair-spray-400g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/1842cdfd-ce73-490a-a168-a744b626c671/protane-strong-hold-hair-spray-400g,Health & Beauty,Hair Care,PROTANE,400g,PROTANE
Camphor 2 Pack,$2.49,https://www.aldi.com.au/products/atlas-camphor-2-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/3d4014d6-e186-4919-afa8-cea4019eb75a/atlas-camphor-2-pack,Health & Beauty,Personal Care & Hygiene,ATLAS,2,ATLAS
Ceramide Cream 500g,$9.99,https://www.aldi.com.au/products/lacura-ceramide-cream-500g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/404c4b25-f813-4956-a81a-a8f4b98cc6c4/lacura-ceramide-cream-500g,Health & Beauty,Sun & Skin Care,LACURA,500g,LACURA
Saline Nasal Spray 30ml,$3.99,https://www.aldi.com.au/products/essential-health-saline-nasal-spray-30ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/94b05efe-d2fe-4520-8d4b-1dbde583d0a8/essential-health-saline-nasal-spray-30ml,Health & Beauty,First Aid & Medicinal,ESSENTIAL HEALTH,30ml,ESSENTIAL HEALTH
Cotton Balls 200 Pack,$1.99,https://www.aldi.com.au/products/lacura-cotton-balls-200-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/e1dcad27-1235-49cd-9603-45fdca568764/lacura-cotton-balls-200-pack,Health & Beauty,Personal Care & Hygiene,LACURA,200,LACURA
Daily Defence Mineral Sunscreen Sensitive SPF50 100ml,$4.99,https://www.aldi.com.au/products/ombra-daily-defence-mineral-sunscreen-sensitive-spf50-100ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/c5575ff2-3466-46f0-ab6e-661c7f1d1a6c/ombra-daily-defence-mineral-sunscreen-sensitive-spf50-100ml,Health & Beauty,Sun & Skin Care,OMBRA,100ml,OMBRA
