name,price,product_url,image_url,category,subcategory,brand,size,canonical_brand
Flying Power Energy Drink Pine Lime 4 Pack 500ml,$6.99,https://www.aldi.com.au/products/flying-power-flying-power-energy-drink-pine-lime-4-pack-500ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/2a182e0b-f77f-4a20-bfbf-5419905149cd/flying-power-flying-power-energy-drink-pine-lime-4-pack-500ml,Drinks,Sports & Energy,FLYING POWER,2l,FLYING POWER
V Energy Drink 250ml,$2.59,https://www.aldi.com.au/products/v-v-energy-drink-250ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/a793cd08-f15a-4e92-9aa1-41908e26e2dc/v-v-energy-drink-250ml,Drinks,Sports & Energy,V,0.25l,V Energy
V Energy Drink No Sugar 250ml,$2.59,https://www.aldi.com.au/products/v-v-energy-drink-no-sugar-250ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/bbbf8806-f5a6-462e-b604-aef83cf7b9ed/v-v-energy-drink-no-sugar-250ml,Drinks,Sports & Energy,V,0.25l,V Energy
Pineapple Flavoured Soft Drink No Sugar 6 Pack 250ml,$4.99,https://www.aldi.com.au/products/regal-pineapple-flavoured-soft-drink-no-sugar-6-pack-250ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/f6acd885-f5b1-4b25-80c1-436fe16cde12/regal-pineapple-flavoured-soft-drink-no-sugar-6-pack-250ml,Drinks,Soft Drinks,REGAL,1.5l,Regal
Pine Lime No Sugar 12 Pack 375ml,$8.99,https://www.aldi.com.au/products/regal-pine-lime-no-sugar-12-pack-375ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/39a3e6af-be26-47c7-a480-dbaf845a5115/regal-pine-lime-no-sugar-12-pack-375ml,Drinks,Soft Drinks,REGAL,4.5l,Regal
Yuzu Flavoured Soft Drink No Sugar 6 Pack 250ml,$4.99,https://www.aldi.com.au/products/regal-yuzu-flavoured-soft-drink-no-sugar-6-pack-250ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/8aeff33f-75ea-46f6-b9b7-cb7a521a42e2/regal-yuzu-flavoured-soft-drink-no-sugar-6-pack-250ml,Drinks,Soft Drinks,REGAL,1.5l,Regal
Chocolate Coconut Water 1L,$2.99,https://www.aldi.com.au/products/cocolicious-chocolate-coconut-water-1l,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/cc32571a-82b0-4aad-bb23-b18e18da01ba/cocolicious-chocolate-coconut-water-1l,Drinks,Juices & Cordials,COCOLICIOUS,1l,COCOLICIOUS
Coconut Water 1.25L,$2.99,https://www.aldi.com.au/products/h2coco-coconut-water-1-25l,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/2e2f89a6-460b-4ef1-8185-d2cdd7564025/h2coco-coconut-water-1-25l,Drinks,Water,H2COCO,1.25l,H2 Coco
Watermelon Crush Juice 1L,$3.99,https://www.aldi.com.au/products/pickd-watermelon-crush-juice-1l,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/e0b91323-2159-4fe5-8106-d3f694b8105d/pickd-watermelon-crush-juice-1l,Drinks,Juices & Cordials,PICKD,1l,PICKD
Pineapple Juice 1L,$3.39,https://www.aldi.com.au/products/country-orchard-pineapple-juice-1l,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/afc0bd8d-2c83-499e-aab7-535d47239fd2/country-orchard-pineapple-juice-1l,Drinks,Juices & Cordials,COUNTRY ORCHARD,1l,COUNTRY ORCHARD
