name,price,product_url,image_url,category,subcategory,brand,size,canonical_brand
Pancakes 10 Pack 350g,$5.49,https://www.aldi.com.au/products/bon-appetit-pancakes-10-pack-350g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/dbae8743-9d83-4301-a39c-77c0defd12fa/bon-appetit-pancakes-10-pack-350g,Bakery,"Muffins, Cakes & Other",BON APPETIT,350g,BON APPETIT
Brioche Sliders 12 Pack 480g,$6.99,https://www.aldi.com.au/products/bon-appetit-brioche-sliders-12-pack-480g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/700b9f7e-b96d-4f6c-a295-6490132639eb/bon-appetit-brioche-sliders-12-pack-480g,Bakery,"Muffins, Cakes & Other",BON APPETIT,12,BON APPETIT
Blueberry Muffins 4 Pack 420g,$3.99,https://www.aldi.com.au/products/the-cake-stall-blueberry-muffins-4-pack-420g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/6175f81d-9bea-4492-9f79-bc289efb1332/the-cake-stall-blueberry-muffins-4-pack-420g,Bakery,"Muffins, Cakes & Other",THE CAKE STALL,420g,THE CAKE STALL
Chocolate Chip Muffins 4 Pack 420g,$3.99,https://www.aldi.com.au/products/the-cake-stall-chocolate-chip-muffins-4-pack-420g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/4a1a1372-c2f2-4bca-9515-5935d59c6f5b/the-cake-stall-chocolate-chip-muffins-4-pack-420g,Bakery,"Muffins, Cakes & Other",THE CAKE STALL,420g,THE CAKE STALL
Bakehouse Dark Rye Bread 700g,$3.69,https://www.aldi.com.au/products/bakers-life-bakehouse-dark-rye-bread-700g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/5ed75fd4-8443-4ecc-86cc-3c721c310af3/bakers-life-bakehouse-dark-rye-bread-700g,Bakery,Sliced Breads,BAKERS LIFE,700g,BAKERS LIFE
Large Wholegrain Wraps 8 Pack 560g,$3.19,https://www.aldi.com.au/products/bakers-life-large-wholegrain-wraps-8-pack-560g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/b4bb14f3-406a-48cc-a5af-aebc47ee4b32/bakers-life-large-wholegrain-wraps-8-pack-560g,Bakery,Speciality Breads & Rolls,BAKERS LIFE,560g,BAKERS LIFE
Soy & Linseed Sourdough 500g,$3.69,https://www.aldi.com.au/products/bakers-life-soy-linseed-sourdough-500g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/ad3bcfdd-8eae-40d6-858c-3ee2d2d004dc/bakers-life-soy-linseed-sourdough-500g,Bakery,Speciality Breads & Rolls,BAKERS LIFE,500g,BAKERS LIFE
Turkish Pide 400g,$2.39,https://www.aldi.com.au/products/bakers-life-turkish-pide-400g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/c536af9e-1b53-4fc0-9b0a-742c087be698/bakers-life-turkish-pide-400g,Bakery,Speciality Breads & Rolls,BAKERS LIFE,400g,BAKERS LIFE
Turkish Rolls 4 Pack 400g,$2.39,https://www.aldi.com.au/products/bakers-life-turkish-rolls-4-pack-400g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/fa41dff6-0d93-4c0f-976a-891661861bb8/bakers-life-turkish-rolls-4-pack-400g,Bakery,Speciality Breads & Rolls,BAKERS LIFE,400g,BAKERS LIFE
Street Tacos 10 Pack 300g,$3.29,https://www.aldi.com.au/products/diego-s-street-tacos-10-pack-300g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/162ac603-dcf5-40f8-bec2-1945da964d2b/diego-s-street-tacos-10-pack-300g,Bakery,Speciality Breads & Rolls,DIEGO'S,300g,DIEGO'S
Belgian Style Mini Waffles 4 Pack 200g,$4.59,https://www.aldi.com.au/products/bakers-life-belgian-style-mini-waffles-4-pack-200g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/eb2d753b-1ef5-473e-b77b-f5d093f52d15/bakers-life-belgian-style-mini-waffles-4-pack-200g,Bakery,"Muffins, Cakes & Other",BAKERS LIFE,200g,BAKERS LIFE
High Protein Buns 2 Pack 120g,$2.99,https://www.aldi.com.au/products/bakers-life-high-protein-buns-2-pack-120g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/a7f02283-6a52-4190-8ce6-c353856168ee/bakers-life-high-protein-buns-2-pack-120g,Bakery,Speciality Breads & Rolls,BAKERS LIFE,2,BAKERS LIFE
Milk Buns 4 Pack 300g,$3.00,https://www.aldi.com.au/products/bakers-life-milk-buns-4-pack-300g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/ae5e60d8-343f-4f36-afc8-5639dd361092/bakers-life-milk-buns-4-pack-300g,Bakery,Speciality Breads & Rolls,BAKERS LIFE,4,BAKERS LIFE
All Butter Croissants 3 Pack 189g,$2.49,https://www.aldi.com.au/products/bakers-life-all-butter-croissants-3-pack-189g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/3551c0ae-7fc2-482f-9405-e3c3ba613775/bakers-life-all-butter-croissants-3-pack-189g,Bakery,"Muffins, Cakes & Other",BAKERS LIFE,3,BAKERS LIFE
Garlic Naan 2 Pack 250g,$2.79,https://www.aldi.com.au/products/bakers-life-garlic-naan-2-pack-250g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/96b735e0-0c2e-48d3-a888-daa2dcb5c399/bakers-life-garlic-naan-2-pack-250g,Bakery,Speciality Breads & Rolls,BAKERS LIFE,250g,BAKERS LIFE
French Stick 1 Pack 340g,$1.89,https://www.aldi.com.au/products/billie-s-bakehouse-french-stick-1-pack-340g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/590e34b0-4680-47fc-bcc4-833e987a9696/billie-s-bakehouse-french-stick-1-pack-340g,Bakery,Speciality Breads & Rolls,BILLIE'S BAKEHOUSE,340g,BILLIE'S BAKEHOUSE
Thin & Crispy Pizza Base 2 Pack 200g,$2.59,https://www.aldi.com.au/products/bakers-life-thin-crispy-pizza-base-2-pack-200g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/4c06946f-0eb4-4bf9-b5b7-936745c16577/bakers-life-thin-crispy-pizza-base-2-pack-200g,Bakery,Speciality Breads & Rolls,BAKERS LIFE,200g,BAKERS LIFE
