name,price,product_url,image_url,category,subcategory,brand,size,canonical_brand
Beef Burgers 500g,$6.89,https://www.aldi.com.au/products/ready-set-cook-beef-burgers-500g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/3949b009-ad0f-4efc-938c-00074541e38b/ready-set-cook-beef-burgers-500g,Meat & Seafood,Beef,"READY, SET…COOK!",0.5kg,"READY, SET…COOK!"
Fresh Tasmanian Salmon Fillets Skin On 4 Pack 460g,$15.99,https://www.aldi.com.au/products/the-fishmonger-fresh-tasmanian-salmon-fillets-skin-on-4-pack-460g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/39ae0862-7694-47e6-9772-c35f4e67d2aa/the-fishmonger-fresh-tasmanian-salmon-fillets-skin-on-4-pack-460g,Meat & Seafood,Seafood,THE FISHMONGER,0.46kg,THE FISHMONGER
RSPCA Approved Chicken Breast Fillet 1 Pack 300g,$5.00,https://www.aldi.com.au/products/broad-oak-farms-rspca-approved-chicken-breast-fillet-1-pack-300g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/16d16360-11de-45e7-a3a3-01491c5ee113/broad-oak-farms-rspca-approved-chicken-breast-fillet-1-pack-300g,Meat & Seafood,Poultry,BROAD OAK FARMS,0.3kg,BROAD OAK FARMS
Turkey Mince 500g,$6.00,https://www.aldi.com.au/products/broad-oak-farms-turkey-mince-500g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/1ade6c6f-4ac2-4010-93c6-11a9cd6d908f/broad-oak-farms-turkey-mince-500g,Meat & Seafood,Poultry,BROAD OAK FARMS,0.5kg,BROAD OAK FARMS
Pork with Balsamic and Caramelised Onions,$8.00,https://www.aldi.com.au/products/the-whistling-butcher-pork-with-balsamic-and-caramelised-onions,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/2403fdf7-77f9-4017-aff1-a37c35dd91fe/the-whistling-butcher-pork-with-balsamic-and-caramelised-onions,Meat & Seafood,Pork,THE WHISTLING BUTCHER,0.5kg,THE WHISTLING BUTCHER
Flame Roast Smoked Salmon 150g,$8.99,https://www.aldi.com.au/products/the-fishmonger-flame-roast-smoked-salmon-150g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/cda11637-bff6-40af-aa7b-f6d2cf24122e/the-fishmonger-flame-roast-smoked-salmon-150g,Meat & Seafood,Seafood,THE FISHMONGER,0.15kg,THE FISHMONGER
RSPCA Approved Chicken Mixed Pieces 2kg,$8.49,https://www.aldi.com.au/products/broad-oak-farms-rspca-approved-chicken-mixed-pieces-2kg,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/7f86d37e-090c-4a03-8cb0-0e0001cb8f02/broad-oak-farms-rspca-approved-chicken-mixed-pieces-2kg,Meat & Seafood,Poultry,BROAD OAK FARMS,2kg,BROAD OAK FARMS
Pork Scotch Fillet Steak Per Kg,$4.84,https://www.aldi.com.au/products/ironbark-pork-pork-scotch-fillet-steak-per-kg,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/fdf621d6-5e57-4877-806c-95cf8609a8e4/ironbark-pork-pork-scotch-fillet-steak-per-kg,Meat & Seafood,Pork,IRONBARK PORK,0.255kg per package,IRONBARK PORK
Garlic Prawns 280g,$9.99,https://www.aldi.com.au/products/the-fishmonger-garlic-prawns-280g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/b44f9eeb-18f9-4750-9182-077253e9dca0/the-fishmonger-garlic-prawns-280g,Meat & Seafood,Seafood,THE FISHMONGER,0.28kg,THE FISHMONGER
100 Day Grain Fed Scotch Fillet 1kg,$19.50,https://www.aldi.com.au/products/specially-selected-100-day-grain-fed-scotch-fillet-1kg,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/e3a9eddd-b0ab-41a4-8b6b-291bc1a29c60/specially-selected-100-day-grain-fed-scotch-fillet-1kg,Meat & Seafood,Beef,SPECIALLY SELECTED,0.375kg per package,SPECIALLY SELECTED
4 Star Grass Fed Beef Mince 500g,$9.99,https://www.aldi.com.au/products/jindurra-station-4-star-grass-fed-beef-mince-500g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/b5ea5cb2-b5c0-4901-9685-9fddb5e8344d/jindurra-station-4-star-grass-fed-beef-mince-500g,Meat & Seafood,Beef,JINDURRA STATION,0.5kg,JINDURRA STATION
Honey Soy Pork Belly Rashers,$10.58,https://www.aldi.com.au/products/ready-set-cook-honey-soy-pork-belly-rashers,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/e9239ab8-052d-414e-86ea-c0f89331ee43/ready-set-cook-honey-soy-pork-belly-rashers,Meat & Seafood,Pork,"READY, SET…COOK!",0.415kg per package,"READY, SET…COOK!"
Kangaroo Mince 1kg,$10.99,https://www.aldi.com.au/products/k-roo-kangaroo-mince-1kg,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/eff3ebbc-6d92-433b-b819-a8b768fd6f52/k-roo-kangaroo-mince-1kg,Meat & Seafood,Beef,K-ROO,1kg,K-roo
Beef Scotch Fillet 2 Pack,$16.00,https://www.aldi.com.au/products/jindurra-station-beef-scotch-fillet-2-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/74145b85-9ff3-4650-8357-e2cc63384649/jindurra-station-beef-scotch-fillet-2-pack,Meat & Seafood,Beef,JINDURRA STATION,0.4kg per package,JINDURRA STATION
RSPCA Approved Chicken Maryland Fillets,$14.94,https://www.aldi.com.au/products/broad-oak-farms-rspca-approved-chicken-maryland-fillets,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/f59cc54e-9e9e-4459-9220-20b75bba730c/broad-oak-farms-rspca-approved-chicken-maryland-fillets,Meat & Seafood,Poultry,BROAD OAK FARMS,1.3kg per package,BROAD OAK FARMS
