name,price,product_url,image_url,category,subcategory,brand,size,canonical_brand
Le Bag Recyclé,$0.99,https://www.aldi.com.au/products/aldi-le-bag-recycle,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/c443edb5-36a5-42eb-919f-5636aa9ad9fa/aldi-le-bag-recycle,Front of Store,Shopping Bags & Token,ALDI,1,ALDI
Trolley Token Key Ring,$0.99,https://www.aldi.com.au/products/aldi-trolley-token-key-ring,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/95ae41fc-18fb-47a4-a9da-840574e5712c/aldi-trolley-token-key-ring,Front of Store,Shopping Bags & Token,ALDI,1,ALDI
Cooler Bag,$2.49,https://www.aldi.com.au/products/aldi-cooler-bag,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/1cbe270b-1bbe-431f-889b-514dbe049d60/aldi-cooler-bag,Front of Store,Shopping Bags & Token,ALDI,1,ALDI
Paper shopping bag,$0.25,https://www.aldi.com.au/products/aldi-paper-shopping-bag,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/68de917e-a317-443d-bbb6-f9afc572a43c/aldi-paper-shopping-bag,Front of Store,Shopping Bags & Token,ALDI,1,ALDI
Paper Shopping Bag,$0.25,https://www.aldi.com.au/products/aldi-paper-shopping-bag,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/cecadae5-55cc-440c-a30d-e1939a9d4220/aldi-paper-shopping-bag,Front of Store,Shopping Bags & Token,ALDI,1,ALDI
Asiatic Lily3 Stem,$10.00,https://www.aldi.com.au/products/beautiful-blooms-fresh-flowers-asiatic-lily3-stem,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/635691a2-1741-488e-a1df-13ccf5c3eab4/beautiful-blooms-fresh-flowers-asiatic-lily3-stem,Front of Store,Flowers,BEAUTIFUL BLOOMS FRESH FLOWERS,,BEAUTIFUL BLOOMS FRESH FLOWERS
Wildflower Bouquet,$18.00,https://www.aldi.com.au/products/beautiful-blooms-fresh-flowers-wildflower-bouquet,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/3f6b1550-b3d2-45c5-9135-cd44d35a184f/beautiful-blooms-fresh-flowers-wildflower-bouquet,Front of Store,Flowers,BEAUTIFUL BLOOMS FRESH FLOWERS,1,BEAUTIFUL BLOOMS FRESH FLOWERS
Chrysanthemums Bunch,$10.00,https://www.aldi.com.au/products/beautiful-blooms-fresh-flowers-chrysanthemums-bunch,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/11ada2c3-bc8d-42e8-8b52-8a235c18fb0f/beautiful-blooms-fresh-flowers-chrysanthemums-bunch,Front of Store,Flowers,BEAUTIFUL BLOOMS FRESH FLOWERS,1,BEAUTIFUL BLOOMS FRESH FLOWERS
Roses 10 Stem,$14.00,https://www.aldi.com.au/products/beautiful-blooms-fresh-flowers-roses-10-stem,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/6c6ab09d-d561-4fa8-8bbb-4916fa8b820d/beautiful-blooms-fresh-flowers-roses-10-stem,Front of Store,Flowers,BEAUTIFUL BLOOMS FRESH FLOWERS,1,BEAUTIFUL BLOOMS FRESH FLOWERS
